Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),Column 7,Column 8,Column 9
4.05,Swedbank,3 år,26776.0,565000,110915,,,
3.65,Swedbank,3 år,26777.0,"1,18",november 2010,,,
3.9,Länsförsäkringar,3 månader,26832.0,"1,4 mkr",20120301,,,
3.98,Swedbank,1 år,26871.0,"0,63",111010,,,
3.87,Handelsbanken,3 månader,26872.0,"1,1 mkr",2012-03-01,,,
3.52,SEB,3 år,26873.0,"1,7",110505,,,
3.29,SEB,2 år,26874.0,600000,2012,,,
3.25,SEB,1 år,26875.0,"1,25",20100628,,,
4.05,Länsförsäkringar,Rörlig,26877.0,814000,2009-05-01,,,
4.5,Swedbank,5 år,26878.0,800000,111123,,,
4.1,Nordea,3 månader,26890.0,"1,6",20100715,,,
3.1,SEB,2 år,26900.0,2500000,2011-08-01,,,
3.7,SEB,3 år,26935.0,,,,,
3.1,Handelsbanken,1 år,26936.0,,,,,
3.9,Swedbank,3 månader,26936.0,"1,3",20120301,,,
3.72,SEB,3 månader,26936.0,"1,3",120327,,,
3.92,SEB,3 månader,26936.0,"1,3 mkr",mars 2012,,,
3.25,Handelsbanken,3 år,26939.0,"2,2 mkr",2012-03-12,,,
3.64,Swedbank,Rörlig,26962.0,"1,6 mkr",2012-04-01,,,
2.94,SEB,2 år,26976.0,"01.0""4,00",2011-10-01,,,
2.47,SEB,2 år,26976.0,,,,,
3.0,SBAB,3 månader,26976.0,1,111111,,,
3.3,SEB,2 år,26976.0,"1,5 mkr",feb 2012,,,
3.3,SEB,2 år,26976.0,"1,5 mkr",jan2012,,,
2.27,SEB,2 år,26976.0,"1,7",juni 2010,,,
3.65,Swedbank,3 månader,26991.0,580000,20120402,,,
3.65,Swedbank,3 månader,26991.0,580000 kr,20120402,,,
2.74,Swedbank,Rörlig,26991.0,2210000,Rörligt,,,
4.2,Danske Bank,Rörlig,27021.0,,,,,
4.2,Danske Bank,Rörlig,27021.0,,,,,
3.83,SEB,Rörlig,27021.0,,,,,
3.85,Handelsbanken,Rörlig,27102.0,640000,Mars 2012,,,
4.35,Handelsbanken,Rörlig,27131.0,,,,,
4.15,Länsförsäkringar,Rörlig,27132.0,,,,,
4.03,Handelsbanken,3 månader,27133.0,3600000,120201,,,
3.9,Länsförsäkringar,3 år,27136.0,,,,,
3.9,Länsförsäkringar,3 år,27136.0,,,,,
4.81,Handelsbanken,3 månader,27136.0,256801:-,20111201,,,
4.0,Länsförsäkringar,Rörlig,27136.0,425000,2011-04-02,,,
4.32,Länsförsäkringar,3 månader,27140.0,,,,,
4.05,Länsförsäkringar,3 månader,27141.0,"1,7 mkr",2012-03-01,,,
4.5,SBAB,3 månader,27145.0,300000,2012-03-08,,,
4.35,Swedbank,3 månader,27146.0,,,,,
3.8,Skandiabanken,3 månader,27153.0,710000,120201,,,
4.46,Handelsbanken,Rörlig,27153.0,650000,20100617,,,
3.73,Handelsbanken,3 månader,27171.0,,,,,
3.95,Länsförsäkringar,3 månader,27172.0,"1,2 mkr",120401,,,
3.45,Swedbank,3 månader,27176.0,,,,,
4.3,Handelsbanken,Rörlig,27176.0,2230000,20090601,,,
4.13,Handelsbanken,3 månader,27176.0,1575000,2012-03-01,,,
3.65,Nordea,2 år,27192.0,"1,4 mkr",2012-03-28,,,
4.1,Nordea,3 månader,27192.0,80000,201101,,,
3.65,Nordea,2 år,27192.0,"1,4 mkr",2012-03-30,,,
3.92,Handelsbanken,3 månader,27193.0,3000000,2012-04-01,,,
3.82,SEB,3 månader,27199.0,"1,4 mkr",2012-01-28,,,
3.85,Handelsbanken,3 månader,27237.0,,,,,
4.37,Swedbank,10 år,27238.0,"1,9 mkr",2006-10-31,,,
3.22,SEB,3 år,27238.0,"3,5 mkr",oktober 2010,,,
3.24,Swedbank,2 år,27239.0,,,,,
4.39,Swedbank,3 år,27239.0,,,,,
4.1,Handelsbanken,2 år,27291.0,,,,,
3.8,Handelsbanken,3 månader,27292.0,,,,,
4.12,SBAB,3 månader,27294.0,,,,,
3.45,Nordea,Rörlig,27295.0,"4,2 mkr",april 2009,,,
3.3,Handelsbanken,2 år,27296.0,"3,7",Augusti 2011,,,
3.9,Nordea,Rörlig,27333.0,"1,4 mkr",februari 2012,,,
4.15,Swedbank,3 månader,27333.0,550000 kr,Mars 2012,,,
4.09,SBAB,3 månader,27335.0,975 tkr,2011-05-02,,,
4.25,Swedbank,Rörlig,27357.0,890000,0,,,
3.64,Swedbank,3 år,27431.0,,,,,
4.5,Swedbank,2 år,27433.0,,,,,
3.31,SEB,3 månader,27433.0,650000,120328,,,
4.0,Danske Bank,Rörlig,27434.0,"1,5 mkr",2009-06-01,,,
3.02,SEB,2 år,27435.0,450000,20111201,,,
4.5,Länsförsäkringar,Rörlig,27437.0,,,,,
4.07,Handelsbanken,3 månader,27437.0,"1,8",2007-09-01,,,
3.37,SEB,2 år,27461.0,790000,20120315,,,
3.68,SEB,3 månader,27493.0,1700000,2011-10-28,,,
3.99,Swedbank,Rörlig,27534.0,,,,,
3.65,Swedbank,3 månader,27539.0,"0,880mkr",Januari 2012,,,
4.19,Handelsbanken,3 månader,27561.0,,,,,
4.37,Handelsbanken,3 månader,27563.0,1500000,rörlig,,,
4.4,Swedbank,3 månader,27570.0,,,,,
3.9,Danske Bank,Rörlig,27594.0,"2,6 mkr",120201,,,
4.15,Länsförsäkringar,3 månader,27596.0,,,,,
4.1,Swedbank,3 månader,27596.0,"1,1 mkr",120326,,,
3.9,Skandiabanken,3 månader,27636.0,"1,9 mkr",2012-03-01,,,
3.93,SBAB,Rörlig,27637.0,500000,2012-03-20,,,
4.28,Swedbank,Rörlig,27660.0,,,,,
4.2,Swedbank,3 månader,27660.0,,,,,
3.41,SEB,2 år,27660.0,"2,2",120320,,,
4.03,Handelsbanken,1 år,27660.0,525000,Maj 2011,,,
4.15,Länsförsäkringar,Rörlig,27731.0,500000,20110330,,,
3.8,Nordea,3 månader,27735.0,,,,,
3.55,Handelsbanken,2 år,27735.0,,,,,
3.73,Handelsbanken,3 år,27735.0,,,,,
4.33,Handelsbanken,Rörlig,27735.0,,,,,
4.5,Nordea,Rörlig,27735.0,"1,6 mkr",2011-11-01,,,
3.99,Handelsbanken,3 månader,27736.0,"3,0 mkr",120301,,,
4.5,Nordea,3 månader,27740.0,,,,,
3.85,Swedbank,Rörlig,28010.0,1800000,20120215,,,
4.15,Länsförsäkringar,3 månader,28010.0,"1,525",20120131,,,
4.1,Nordea,Rörlig,28020.0,100000,vet ej,,,
4.15,Swedbank,3 månader,28020.0,650000,januari 2011,,,
3.55,Swedbank,3 år,28020.0,679000,Augusti 2011,,,
3.9,Swedbank,Rörlig,28020.0,"0,6 mkr ",rörlig,,,
2.55,Nordea,2 år,28022.0,"1,2",2010-06-28,,,
3.8,Swedbank,3 månader,28023.0,900,20120401,,,
3.72,Swedbank,5 år,28060.0,,,,,
4.05,Swedbank,3 år,28072.0,,,,,
4.42,Länsförsäkringar,3 månader,28133.0,572000,20120330,,,
4.42,Länsförsäkringar,Rörlig,28133.0,"1,2",2012-04-03,,,
3.8,Swedbank,3 månader,28133.0,2 mkr,april 2012,,,
3.5,Swedbank,2 år,28135.0,"1,7 mkr",Mars 2012,,,
3.5,Swedbank,2 år,28135.0,"1,7 mkr",Mars 2012,,,
3.6,Handelsbanken,3 månader,28135.0,"2,5",2012-03-16,,,
3.87,Swedbank,3 år,28136.0,2 mkr,Mars 2010,,,
3.2,Swedbank,1 år,28137.0,"0,8mkr",2012-03-15,,,
3.08,Swedbank,3 månader,28139.0,,,,,
3.85,Länsförsäkringar,3 månader,28139.0,,,,,
4.75,Swedbank,5 år,28140.0,600000,20101001,,,
4.3,Swedbank,3 månader,28141.0,,,,,
4.3,Swedbank,3 månader,28141.0,,,,,
4.61,SEB,2 år,28143.0,"800.0""0,00",2012-04-03,,,
3.92,Swedbank,2 år,28147.0,300000,2011-02-01,,,
4.15,Länsförsäkringar,3 månader,28150.0,975000,2012-03-01,,,
4.05,Länsförsäkringar,4 år,28151.0,780000,2011-07-01,,,
4.43,Handelsbanken,3 månader,28151.0,1mkr,februari 2012,,,
3.93,Swedbank,3 månader,28192.0,500000,20120328,,,
4.5,Swedbank,3 månader,28193.0,,,,,
4.15,Swedbank,Rörlig,28195.0,,,,,
3.31,Swedbank,2 år,28195.0,3 mkr,November 2011,,,
3.47,Swedbank,2 år,28195.0,2 mkr,April 2012,,,
3.61,SEB,Rörlig,28195.0,"1,3 mkr",maj 2011,,,
3.75,Swedbank,10 år,28197.0,"0,7 mkr",120201,,,
3.46,SEB,3 månader,28232.0,,,,,
4.05,Swedbank,2 år,28234.0,,,,,
3.55,Nordea,2 år,28234.0,,,,,
4.15,Swedbank,3 månader,28293.0,88000,120402,,,
3.75,Danske Bank,Rörlig,28332.0,"1,5 mkr",2011-01-01,,,
3.02,Swedbank,3 år,28341.0,2012-02-08,20101001,,,
6.0,Swedbank,Rörlig,28391.0,,,,,
4.13,Swedbank,3 månader,28433.0,550000,120228,,,
4.15,Swedbank,"466000:-/4,15%.450000:-/4,2%",28438.0,916000,110315,,,
4.15,Swedbank,3 månader,28438.0,168629,2012-03-28,,,
3.9,Swedbank,3 år,28480.0,,,,,
3.77,Swedbank,Rörlig,28632.0,,,,,
4.3,SBAB,3 månader,28633.0,1000000,2012-02-05,,,
4.3,Swedbank,3 år,28831.0,"0,6 mkr",120201,,,
4.2,Swedbank,3 månader,28834.0,370000,120401,,,
3.9,Swedbank,5 år,28834.0,400000,Mars 2012,,,
5.7,Swedbank,5 år,28950.0,"360.0""0,00",20110615,,,
5.1,Swedbank,2 år,28950.0,"180.0""0,00",oktober08,,,
3.4,Swedbank,2 år,29034.0,560000,20120201,,,
5.6,Swedbank,5 år,29034.0,"1,3 mkr",2008-07-01,,,
3.9,Danske Bank,Rörlig,29037.0,,,,,
4.06,SEB,3 månader,29037.0,"760.0""0,00",111220,,,
3.6,Danske Bank,Rörlig,29038.0,1 mkr,120101,,,
4.76,Swedbank,3 år,29060.0,400000,2011,,,
4.15,Swedbank,3 månader,29062.0,200000,2012-03-20,,,
3.27,SEB,1 år,29133.0,540000,20110528,,,
4.3,Swedbank,3 månader,29133.0,477000,20120201,,,
3.76,Swedbank,3 månader,29141.0,3200000,120230,,,
4.13,Handelsbanken,3 månader,29143.0,,,,,
4.2,Swedbank,3 månader,29143.0,,,,,
3.45,Danske Bank,Rörlig,29143.0,"2,6 mkr",2012-04-01,,,
3.7,Swedbank,Rörlig,29143.0,"1,9 mkr",0,,,
3.5,SEB,1 år,29143.0,"1,35",2012-07-11,,,
3.37,SEB,3 månader,29143.0,2800000,20120330,,,
5.14,Swedbank,"genomsnittlig ränta; 5, 8 resp 10 år",29143.0,2 Mkr,Augusti 2007,,,
3.81,Swedbank,2 år,29144.0,,,,,
3.83,Handelsbanken,3 månader,29144.0,,,,,
4.4,Swedbank,Rörlig,29145.0,"1,6",120228,,,
3.94,Handelsbanken,10 år,29146.0,,,,,
3.78,Swedbank,Rörlig,29146.0,"2,9",20120330,,,
4.3,Swedbank,Rörlig,29146.0,910000 kr,2005,,,
4.45,Swedbank,3 månader,29147.0,863 tkr,2011-12-28,,,
4.45,Swedbank,3 månader,29147.0,860 tkr,2011-12-28,,,
3.7,Danske Bank,1 år,29151.0,,,,,
3.6,Swedbank,2 år,29151.0,"1,5 mkr",20120301,,,
3.8,Swedbank,2 år,29151.0,"1,3",2012-01-02,,,
3.87,Handelsbanken,Rörlig,29151.0,"2,2 mkr",Mars 2012,,,
3.95,Nordea,3 månader,29154.0,"1,1 mkr",20110815,,,
4.25,Danske Bank,Rörlig,29154.0,"0,26",aldrig,,,
3.56,SEB,3 månader,29154.0,380000,Mars 2012,,,
6.0,Swedbank,7 år,29159.0,,,,,
4.46,Swedbank,Rörlig,29159.0,76500,41201,,,
4.15,Swedbank,Rörlig,29162.0,900000,20101128,,,
3.85,Länsförsäkringar,2 år,29162.0,"1,9",111001,,,
3.56,SEB,3 månader,29163.0,"1,4 mkr",2011-09-15,,,
4.8,Swedbank,8 år,29165.0,574000,2006-11-26,,,
4.32,Swedbank,7 år,29165.0,509000,2010-09-25,,,
4.45,Swedbank,3 månader,29165.0,578000,120128,,,
3.8,SEB,3 månader,29165.0,"1,3",110801,,,
3.33,Länsförsäkringar,2 år,29165.0,205000,20101120,,,
2.5,Swedbank,2 år,29165.0,400000,100501,,,
4.11,Swedbank,3 månader,29165.0,598000,20120301,,,
4.15,Swedbank,Rörlig,29165.0,"0,8 mkr",2012-03-28,,,
3.81,Handelsbanken,Rörlig,29166.0,"1,54",120401,,,
3.85,Länsförsäkringar,3 år,29170.0,600000,91029,,,
1.75,Handelsbanken,3 månader,29170.0,"1,3 mkr",111001,,,
4.03,Handelsbanken,3 månader,29173.0,"1,05",april 2012,,,
5.0,Swedbank,5 år,29192.0,,,,,
4.0,Swedbank,2 år,29192.0,"1,3",2012.10.28,,,
4.0,Swedbank,2 år,29192.0,"1,3",2011.10.28,,,
4.3,Swedbank,3 månader,29192.0,"0,7",2012.03.04,,,
4.4,Swedbank,Rörlig,29192.0,700000,03.37.32,,,
4.63,Swedbank,3 månader,29194.0,,,,,
4.05,Swedbank,Rörlig,29194.0,1264000,120228,,,
3.41,Handelsbanken,Rörlig,29195.0,,,,,
3.95,Swedbank,3 månader,29195.0,1,120301,,,
4.07,Swedbank,1 år,29197.0,,,,,
4.07,Swedbank,1 år,29197.0,,,,,
3.7,SEB,3 månader,29291.0,567500,juli 2009,,,
3.2,Swedbank,3 år,29342.0,,,,,
4.39,Swedbank,2 år,29342.0,"0,7mkr",Februari 2011,,,
4.42,Länsförsäkringar,Rörlig,29372.0,,,,,
3.79,Swedbank,3 år,29373.0,,,,,
3.3,Swedbank,2 år,29373.0,710000,120228,,,
5.17,Länsförsäkringar,5 år,29393.0,578000,80330,,,
3.95,Swedbank,3 år,29393.0,"1,1",120323,,,
4.57,Swedbank,5 år,29433.0,500000,120101,,,
4.2,Swedbank,3 månader,29433.0,400000,111105,,,
4.52,Nordea,2 år,29434.0,"0,25",2011-04-01,,,
4.52,Nordea,2 år,29434.0,"0,25",2011-04-01,,,
3.6,Swedbank,Rörlig,29434.0,"3,0 mkr",80901,,,
4.23,Handelsbanken,3 månader,29434.0,300000,120101,,,
3.6,Swedbank,3 månader,29434.0,"1,7",april 2012,,,
3.75,Swedbank,Rörlig,29435.0,900000,1990,,,
4.02,Länsförsäkringar,Rörlig,29436.0,"9,5",20120301,,,
5.0,Handelsbanken,3 år,29437.0,2,2009-12-30,,,
4.15,Swedbank,Rörlig,29437.0,800000,120116,,,
4.3,Swedbank,3 månader,29439.0,900000,2012-02-28,,,
4.15,Swedbank,3 månader,29472.0,,,,,
3.17,Handelsbanken,3 månader,29472.0,450,120102,,,
3.19,Swedbank,3 år,29472.0,2020000,20090808,,,
4.5,Nordea,Rörlig,29472.0,"0,9 mkr",Oktober 2010,,,
4.01,Swedbank,Rörlig,29477.0,,,,,
3.75,Swedbank,2 år,29477.0,1 mkr,20120127,,,
2.95,SEB,3 år,29493.0,,,,,
2.95,SEB,3 år,29493.0,,,,,
3.86,Länsförsäkringar,1 år,29494.0,"1,5",2011-06-30,,,
4.11,Länsförsäkringar,2 år,29494.0,"1,5",2011-06-30,,,
3.86,Länsförsäkringar,1 år,29494.0,"1,5",2011-06-30,,,
3.96,SEB,3 månader,29494.0,1785000,mars 2012,,,
3.9,Swedbank,Rörlig,29531.0,"0,64mkr",120327,,,
5.45,SEB,5 år,29531.0,750000,2008-05-28,,,
6.9,Swedbank,16,29532.0,800000,981001,,,
4.1,Swedbank,Rörlig,29535.0,,,,,
4.5,Nordea,3 månader,29535.0,"1,2",120111,,,
3.77,Swedbank,3 månader,29535.0,"0,7mkr",2011-11-30,,,
3.9,Swedbank,Rörlig,29537.0,1020000,80501,,,
4.86,Swedbank,3 månader,29539.0,,,,,
3.98,SBAB,1 år,29594.0,,,,,
4.95,Handelsbanken,Rörlig,29631.0,,,,,
3.58,Handelsbanken,1 år,29631.0,,,,,
3.65,Handelsbanken,1 år,29631.0,"4,7",2011-09-11,,,
4.15,Länsförsäkringar,3 månader,29632.0,,,,,
4.15,Länsförsäkringar,3 månader,29632.0,,,,,
3.95,Swedbank,Rörlig,29632.0,"2,8 mkr",120301,,,
3.76,SBAB,2 år,29632.0,950000,20111205,,,
3.6,Swedbank,Rörlig,29632.0,3 mkr,20120226,,,
4.2,Handelsbanken,1 år,29633.0,"2,3 mkr",20111101,,,
3.7,Handelsbanken,5 år,29633.0,1 mkr,mars 2010,,,
3.8,Danske Bank,3 månader,29635.0,,,,,
3.99,Swedbank,3 år,29635.0,"2,3",20110809,,,
4.87,Länsförsäkringar,5 år,29635.0,140000,20090109,,,
3.41,SEB,3 månader,29637.0,2,120321,,,
4.3,Swedbank,Rörlig,29638.0,2250000,mars 2009,,,
3.5,Handelsbanken,2 år,29638.0,"1,1 mkr",120229,,,
3.45,Nordea,3 år,29638.0,"2,4 mkr",120325,,,
3.41,Swedbank,3 år,29638.0,"0,5 mkr",20120301,,,
4.51,Swedbank,3 månader,29638.0,282000,120405,,,
3.65,Handelsbanken,Rörlig,29641.0,1 mkr,2011-05-19,,,
3.99,Nordea,3 månader,29672.0,,,,,
4.55,SEB,5 år,29731.0,"0,75",70528,,,
3.59,SEB,Rörlig,29794.0,,,,,
4.39,Nordea,3 år,29794.0,,,,,
4.15,Swedbank,3 månader,29795.0,,,,,
4.15,Länsförsäkringar,3 månader,29795.0,"1,25",20120201,,,
5.2,Swedbank,5 år,29833.0,,,,,
5.06,Swedbank,Rörlig,29833.0,375000,19980719,,,
5.5,Länsförsäkringar,Rörlig,29892.0,,,,,
3.66,Länsförsäkringar,1 år,29892.0,,,,,
4.2,Länsförsäkringar,2 år,29892.0,,,,,
3.23,SEB,2 år,30217.0,450000,2012-03-01,,,
3.6,Swedbank,Rörlig,30224.0,550000,20120301,,,
4.43,Handelsbanken,3 månader,30225.0,,,,,
4.15,Länsförsäkringar,Rörlig,30226.0,600000,110401,,,
4.25,Handelsbanken,3 år,30226.0,1211000,Februari 2011,,,
3.5,Länsförsäkringar,3 år,30230.0,"2,2",1203125,,,
3.42,SEB,Rörlig,30230.0,1050000,20100501,,,
4.2,Handelsbanken,Rörlig,30230.0,"0,9",Januari 2012,,,
3.56,SEB,1 år,30231.0,"2,3 Mkr",2011-05-20,,,
4.05,SBAB,Rörlig,30233.0,,,,,
5.26,Länsförsäkringar,5 år,30234.0,,,,,
3.77,Handelsbanken,1 år,30234.0,,,,,
3.21,SEB,3 månader,30234.0,,,,,
4.4,Länsförsäkringar,3 månader,30234.0,,,,,
4.05,Länsförsäkringar,3 månader,30234.0,,,,,
3.714,Swedbank,Rörlig,30234.0,140000,rörligt,,,
3.76,SEB,3 månader,30237.0,,,,,
3.9,Swedbank,3 månader,30237.0,"3,9",December 2011,,,
3.16,Handelsbanken,3 månader,30238.0,,,,,
5.32,Swedbank,5 år,30239.0,"1,3 mkr",20071214,,,
3.85,Swedbank,3 månader,30239.0,"1,4 mkr",120228,,,
3.95,Nordea,3 månader,30239.0,"1,1 mkr",Maj 2011,,,
3.78,Nordea,2 år,30239.0,923000,juli 2011,,,
2.93,Nordea,2 år,30239.0,525000,augusti 2010,,,
3.45,Swedbank,2 år,30240.0,"1,2 mkr",2012-03-10,,,
3.91,SEB,3 månader,30240.0,915000,februari 2011,,,
3.91,SEB,3 månader,30240.0,915000,20110201,,,
3.61,SEB,3 månader,30240.0,560000,20110201,,,
3.76,SEB,3 månader,30240.0,587475,20110201,,,
3.76,SEB,3 månader,30240.0,555320,20120201,,,
3.61,SEB,3 månader,30240.0,800000,20120201,,,
3.61,SEB,3 månader,30240.0,800000,20120201,,,
3.5,Swedbank,Rörlig,30247.0,40000,2012-01-12,,,
3.69,SEB,2 år,30247.0,500000,20110830,,,
3.3,SEB,1 år,30247.0,616000,110701,,,
3.8,Nordea,3 månader,30248.0,"2,2",mars 2012,,,
3.8,SEB,Rörlig,30251.0,,,,,
4.1,Swedbank,3 månader,30252.0,"0,45",2011-08-15,,,
3.85,SEB,3 månader,30252.0,"0,7 mkr",2012-03-15,,,
3.65,Handelsbanken,5 år,30253.0,250000,100901,,,
4.44,Swedbank,3 månader,30253.0,875000,20100108,,,
3.9,Swedbank,Rörlig,30256.0,"2,2",har inte bundit,,,
4.21,Swedbank,Rörlig,30256.0,,,,,
3.5,Handelsbanken,2 år,30256.0,,,,,
4.1,Nordea,Rörlig,30256.0,,,,,
3.75,Swedbank,3 månader,30256.0,"1,1",20120401,,,
4.02,Handelsbanken,Rörlig,30256.0,1955000,120301,,,
3.65,Handelsbanken,Rörlig,30256.0,"2,3 mkr",Mars 2012,,,
4.1,Skandiabanken,Rörlig,30258.0,"0,5 mkr",2012-03-01,,,
4.25,Handelsbanken,5 år,30259.0,,,,,
3.6,Swedbank,3 år,30261.0,535000,101028,,,
3.66,SEB,3 månader,30261.0,"1,7mkr",111128,,,
4.0,Länsförsäkringar,Rörlig,30261.0,590000,januari 2012,,,
3.45,Handelsbanken,2 år,30263.0,,,,,
3.626,Swedbank,Rörlig,30263.0,345 tkr,120330,,,
4.39,Swedbank,5 år,30263.0,250tkr,110830,,,
2.8,SEB,2 år,30263.0,"2,2 mkr",110501,,,
3.05,Swedbank,3 år,30263.0,637500,2009-09-25,,,
4.62,Swedbank,10 år,30263.0,637500,2011-09-24,,,
3.79,Swedbank,8,30263.0,637500,2005-11-12,,,
3.93,Swedbank,12,30263.0,637500,2005-11-12,,,
4.3,Swedbank,3 månader,30263.0,750000,2012-02-28,,,
3.59,Handelsbanken,2 år,30265.0,"0,38",120301,,,
3.45,Danske Bank,Rörlig,30270.0,"3,5",2012.03.01,,,
4.5,Danske Bank,2 år,30270.0,,,,,
4.33,SBAB,Rörlig,30270.0,,,,,
4.13,Handelsbanken,3 månader,30270.0,,,,,
3.5,Handelsbanken,2 år,30270.0,"0,7 mkr",2012-04-01,,,
3.78,Handelsbanken,3 månader,30272.0,"1,5mkr",april 2012,,,
3.82,Handelsbanken,3 månader,30274.0,"1,2 mkr",120301,,,
4.15,Länsförsäkringar,3 månader,30274.0,850000,december 2008,,,
3.8,Danske Bank,Rörlig,30275.0,"3,1",120301,,,
4.14,Handelsbanken,3 månader,30275.0,,,,,
3.8,Danske Bank,Rörlig,30275.0,3,Mars 2012,,,
3.87,SEB,Rörlig,30290.0,,,,,
3.9,Nordea,2 år,30290.0,"2,0 mkr",110201,,,
4.1,Nordea,3 månader,30291.0,,,,,
4.1,Nordea,3 månader,30291.0,"0,8 mkr",120301,,,
3.5,Handelsbanken,2 år,30291.0,"6,0 mkr",120310,,,
4.15,Handelsbanken,5 år,30291.0,"0,780 mkr",2010-10-30,,,
3.57,SEB,Rörlig,30291.0,"1,0 mkr",Mars 2012,,,
3.57,SEB,3 månader,30291.0,"1,1 mkr",Mars 2012,,,
4.17,Handelsbanken,3 månader,30291.0,415190 kr,Januari 2012,,,
3.85,Skandiabanken,3 månader,30291.0,"1,7",januari 2012,,,
2.95,Swedbank,3 månader,30292.0,"0,4 mkr",20071214,,,
4.9,Swedbank,10 år,30292.0,"2,0 mkr",60804,,,
3.14,SEB,1 år,30292.0,"2,7 mkr",110901,,,
3.2,Nordea,1 år,30292.0,800000,Augusti 2011,,,
4.3,Nordea,3 månader,30292.0,300000,Aug 2011,,,
3.5,Handelsbanken,2 år,30293.0,"2,1 mkr",april 2012,,,
3.84,Nordea,2 år,30294.0,"1,1 mkr",20111201,,,
4.05,Länsförsäkringar,3 månader,30294.0,600000,120302,,,
3.71,Swedbank,3 månader,30560.0,"1,3 mkr",rörligt,,,
4.4,Länsförsäkringar,5 år,30560.0,,,,,
3.64,SEB,3 år,30560.0,"2,0 mkr",2009-10-29,,,
3.92,Handelsbanken,3 månader,30564.0,"2,5",2012030,,,
3.02,SEB,3 år,30564.0,"1,8",20111228,,,
3.85,Nordea,3 månader,30565.0,"2,6mkr",120113,,,
5.7,Handelsbanken,10 år,30571.0,1742000,2008-06-10,,,
3.56,SEB,3 månader,30572.0,"1,7mkr",120301,,,
3.45,SEB,3 månader,30572.0,"2,08 mkr",2010-05-01,,,
3.97,Handelsbanken,3 månader,30572.0,"1,0 mkr",2012-03-01,,,
3.2,Handelsbanken,3 år,30572.0,700000,december 2009,,,
4.0,Swedbank,3 månader,30578.0,,,,,
3.8,Länsförsäkringar,3 år,30578.0,"1,3",2012-02-01,,,
3.99,Swedbank,3 månader,30578.0,687000,20120301,,,
4.0,Swedbank,3 månader,30578.0,639,februari 2012,,,
4.086,Swedbank,5 år,30578.0,640000,juni 2009,,,
3.135,Swedbank,3 år,30578.0,640000,juni 2009,,,
3.235,Swedbank,Rörlig,30593.0,668000,2012-03-31,,,
3.56,SEB,3 månader,30593.0,"2,5 mkr",2012-03-21,,,
4.15,Länsförsäkringar,Rörlig,30593.0,"2,2 mkr",20120503,,,
4.3,Swedbank,1 år,30597.0,,,,,
4.3,Nordea,3 månader,31038.0,,,,,
3.8,Handelsbanken,Rörlig,31038.0,"1,3 mkr",20120101,,,
4.23,Handelsbanken,Rörlig,31041.0,,,,,
4.23,Handelsbanken,Rörlig,31041.0,,,,,
4.65,Nordea,Rörlig,31060.0,,,,,
5.6,Nordea,5 år,31060.0,,,,,
4.0,Nordea,5 år,31060.0,715000,20120229,,,
4.25,Swedbank,10 år,31061.0,780000,120220,,,
4.15,Swedbank,10 år,31061.0,780tkr,februari 2012,,,
4.16,Swedbank,Rörlig,31062.0,"0,618",Rörligt,,,
2.93,SEB,2 år,31102.0,375000,120131,,,
2.93,SEB,2 år,31104.0,,,,,
2.93,SEB,2 år,31104.0,375000,120131,,,
3.14,SEB,1 år,31104.0,525000,120131,,,
4.1,Nordea,3 månader,31104.0,"1,0mkr",april 2012,,,
4.42,Länsförsäkringar,3 månader,31132.0,990000,71001,,,
3.11,SEB,2 år,31133.0,"0,5 mkr",2011-03-28,,,
3.32,SEB,3 månader,31133.0,"0,2",2012-04-02,,,
4.1,Skandiabanken,3 månader,31133.0,2500000,20120113,,,
3.75,Länsförsäkringar,2 år,31137.0,,,,,
5.65,Länsförsäkringar,3 månader,31138.0,266000,80101,,,
4.0,Länsförsäkringar,3 månader,31140.0,532000,120402,,,
6.28,Swedbank,5 år,31140.0,,,,,
4.76,Swedbank,3 år,31140.0,,,,,
3.67,SBAB,2 år,31141.0,780000,20101105,,,
4.2,Swedbank,7 år,31141.0,"0,84 mkr",2006-02-10,,,
2.86,SEB,2 år,31142.0,,,,,
3.7,Swedbank,3 år,31142.0,"650.0""0,00",120210,,,
3.73,Handelsbanken,3 månader,31142.0,"1,9",Mars 2012,,,
3.42,SEB,3 månader,31142.0,"2,5 mkr",Februari 2009,,,
4.27,SBAB,Rörlig,31145.0,,,,,
4.08,SBAB,Rörlig,31145.0,,,,,
3.74,Handelsbanken,3 månader,31145.0,3,2012-03-30,,,
3.5,Swedbank,Rörlig,31146.0,,,,,
4.0,Nordea,5 år,31162.0,710000,20120229,,,
6.02,Länsförsäkringar,1 år,31165.0,,,,,
6.8,Swedbank,Rörlig,31167.0,"1,2 mkr",2010-10-01,,,
4.6,Swedbank,Rörlig,31168.0,"1,9mkr",april2011,,,
3.85,Swedbank,3 år,31169.0,"2,1mkr",20110901,,,
4.3,Swedbank,3 månader,31172.0,,,,,
4.13,Handelsbanken,3 månader,31172.0,"1,6",120301,,,
4.16,Swedbank,2 år,31172.0,1 mkr,2011-04-20,,,
3.2,Swedbank,2 år,31172.0,1450000,20110202,,,
4.22,Swedbank,3 månader,31173.0,"1,6mkr",2011/080/01,,,
4.22,Swedbank,3 månader,31173.0,"1,6mkr",2011/080/01,,,
